Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
40,Normal/Others,WS/MP18152/2024-2025/137630,Purchase of mobile water tankers,Purchase of Steel mobile water tanker,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,200000.0
41,Normal/Others,WS/MP18152/2024-2025/137631,Construction of rooms and halls in school and colleges,Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,299155.0
42,Normal/Others,WS/MP18152/2024-2025/137637,Construction of rooms and halls in school and colleges,Construction of mid-day meal Shed in Govt Primary school Dana romana,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,299155.0
43,Normal/Others,WS/MP18152/2024-2025/137640,Construction of rooms and halls in school and colleges,Construction of Midday meal Shed in Govt Primary school Dod Main,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,299155.0
44,Normal/Others,WS/MP18152/2024-2025/137641,Construction of rooms and halls in school and colleges,Construction of mid-day meal Shed in Govt primary School,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,299155.0
45,Normal/Others,WS/MP18152/2024-2025/137633,Purchase of mobile water tankers,Purchase of mobile Steel water tanker in GP Mai Godri Sahib,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,200000.0
46,Normal/Others,WS/MP18152/2024-2025/137635,Street lights,Installation of Fixed Street Lights,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,200000.0
47,Normal/Others,WS/MP777/2024-2025/136656,"Construction of roads, link roads, pathways or any other road with or without drainage system","Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,995046.0
48,Normal/Others,WS/MP777/2024-2025/135874,"Construction of roads, link roads, pathways or any other road with or without drainage system","Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,997045.0
49,Normal/Others,WS/MP777/2024-2025/135877,"Construction of roads, link roads, pathways or any other road with or without drainage system","Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998035.0
50,Normal/Others,WS/MP777/2024-2025/135876,"Construction of roads, link roads, pathways or any other road with or without drainage system","Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,997302.0
51,Normal/Others,WS/MP777/2024-2025/135879,"Construction of roads, link roads, pathways or any other road with or without drainage system","Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,997045.0
