Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
31392,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP574/2025-2026/180899,Gujarat,PATAN,DISTRICT COLLECTOR PATAN,Bharatsinhji Shankarji Dabhi,PATAN,2025-08-18,kholvada gram panchayat,Payment Success,250000.0
31393,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/159771,Telangana,VIKARABAD,DISTRICT COLLECTOR VIKARABAD_2,KONDA VISHWESHWAR REDDY,CHELVELLA,2025-09-25,E RAGHAVENDER GOUD,Payment Success,124490.0
31394,Construction of community centers and community halls,WS/MP18137/2025-2026/161992,Meghalaya,RI BHOI,DEPUTY COMMISSIONER RIBHOI NONGPOH,ANDREW J. SYNGKON,SHILLONG,2025-08-18,TREILAN SYNGKLI,Payment Success,150000.0
31395,Construction of community centers and community halls,WS/MP18137/2025-2026/161992,Meghalaya,RI BHOI,DEPUTY COMMISSIONER RIBHOI NONGPOH,ANDREW J. SYNGKON,SHILLONG,2025-12-09,TREILAN SYNGKLI,Payment Success,150000.0
31396,Construction of rooms and halls in school and colleges,WS/MP818/2025-2026/174346,Uttar Pradesh,MAINPURI,DISTRICT MAGISTRATE MAINPURI,Smt Dimple Yadav,MAINPURI,2026-06-22,SUKHVEER SINGH,Payment Success,256187.0
31397,Construction of rooms and halls in school and colleges,WS/MP818/2025-2026/174346,Uttar Pradesh,MAINPURI,DISTRICT MAGISTRATE MAINPURI,Smt Dimple Yadav,MAINPURI,2025-10-08,SUKHVEER SINGH,Payment Success,221174.0
31398,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP818/2025-2026/160651,Uttar Pradesh,MAINPURI,DISTRICT MAGISTRATE MAINPURI,Smt Dimple Yadav,MAINPURI,2025-08-19,SUKHVEER SINGH,Payment Success,515671.0
31399,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP818/2025-2026/160651,Uttar Pradesh,MAINPURI,DISTRICT MAGISTRATE MAINPURI,Smt Dimple Yadav,MAINPURI,2026-01-13,SUKHVEER SINGH,Payment Success,347855.0
31400,Development of playground,WS/MP18159/2024-2025/165228,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,BHUPENDER YADAV,ALWAR,2025-08-13,A K CONTRACTORS,Payment Success,889633.0
31401,Development of playground,WS/MP18159/2024-2025/165228,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,BHUPENDER YADAV,ALWAR,2025-11-18,A K CONTRACTORS,Payment Success,838014.0
31402,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP18018/2024-2025/169476,Andhra Pradesh,VIZIANAGARAM,DISTRICT COLLECTOR VIZIANAGARAM,Appalanaidu Kalisetti,VIZIANAGARAM,2025-08-23,K R Constructions,Payment Success,698016.0
31403,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP18018/2024-2025/169476,Andhra Pradesh,VIZIANAGARAM,DISTRICT COLLECTOR VIZIANAGARAM,Appalanaidu Kalisetti,VIZIANAGARAM,2026-01-30,K R Constructions,Payment Success,495486.0
31404,Construction of community centers and community halls,WS/MP18029/2025-2026/190146,Assam,SONITPUR,"Deputy Commissioner Sonitpur, Tezpur",RANJIT DUTTA,Sonitpur,2026-07-29,NITU DEKA,Payment Success,222000.0
31405,Construction of community centers and community halls,WS/MP18029/2025-2026/190146,Assam,SONITPUR,"Deputy Commissioner Sonitpur, Tezpur",RANJIT DUTTA,Sonitpur,2026-02-05,NITU DEKA,Payment Success,203000.0
31406,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18104/2025-2026/190500,Madhya Pradesh,NARMADAPURAM,DISTRICT COLLECTOR NARMADAPURAM,DARSHAN SINGH CHOUDHARY,HOSHANGABAD,2026-05-05,Sachiv gram panchayat Kerkhidi,Payment Success,50000.0
31407,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18104/2025-2026/190500,Madhya Pradesh,NARMADAPURAM,DISTRICT COLLECTOR NARMADAPURAM,DARSHAN SINGH CHOUDHARY,HOSHANGABAD,2025-09-04,Sachiv gram panchayat Kerkhidi,Payment Success,50000.0
